Transcript	Gene
ENST00000511072.5	ENSG00000142611.17
ENST00000607632.1	ENSG00000142611.17
ENST00000378391.6	ENSG00000142611.17
ENST00000514189.5	ENSG00000142611.17
ENST00000270722.10	ENSG00000142611.17
ENST00000512462.5	ENSG00000142611.17
ENST00000463591.1	ENSG00000142611.17
ENST00000509860.1	ENSG00000142611.17
ENST00000378389.5	ENSG00000142611.17
ENST00000606170.1	ENSG00000142611.17
ENST00000641871.1	ENSG00000284616.1
ENST00000288774.8	ENSG00000157911.11
ENST00000447513.7	ENSG00000157911.11
ENST00000650293.1	ENSG00000157911.11
ENST00000507596.5	ENSG00000157911.11
ENST00000510434.1	ENSG00000157911.11
ENST00000508384.5	ENSG00000157911.11
ENST00000515760.1	ENSG00000157911.11
ENST00000502666.1	ENSG00000157911.11
ENST00000514502.1	ENSG00000157911.11
ENST00000564261.1	ENSG00000260972.1
ENST00000456484.1	ENSG00000224340.1
ENST00000449232.1	ENSG00000229280.1
ENST00000472851.1	ENSG00000142655.13
ENST00000356607.9	ENSG00000142655.13
ENST00000491661.2	ENSG00000142655.13
ENST00000492696.1	ENSG00000142655.13
ENST00000634256.1	ENSG00000232596.3
ENST00000635556.1	ENSG00000232596.3
ENST00000420522.1	ENSG00000232596.3
ENST00000659059.1	ENSG00000232596.3
ENST00000667354.1	ENSG00000232596.3
ENST00000659083.1	ENSG00000232596.3
ENST00000661628.1	ENSG00000232596.3
ENST00000666685.1	ENSG00000232596.3
ENST00000443270.1	ENSG00000231510.1
ENST00000609981.5	ENSG00000149527.18
ENST00000449969.5	ENSG00000149527.18
ENST00000419816.6	ENSG00000149527.18
ENST00000343889.8	ENSG00000149527.18
ENST00000278878.6	ENSG00000149527.18
ENST00000473964.5	ENSG00000149527.18
ENST00000462379.1	ENSG00000149527.18
ENST00000378486.8	ENSG00000149527.18
ENST00000328089.11	ENSG00000171621.14
ENST00000450402.1	ENSG00000171621.14
ENST00000357898.3	ENSG00000171621.14
ENST00000377399.2	ENSG00000171621.14
ENST00000607061.1	ENSG00000272235.1
ENST00000641472.1	ENSG00000284694.1
ENST00000424657.1	ENSG00000224387.1
ENST00000377424.9	ENSG00000142583.18
ENST00000487492.1	ENSG00000142583.18
ENST00000377414.7	ENSG00000142583.18
ENST00000484798.5	ENSG00000142583.18
ENST00000474145.5	ENSG00000142583.18
ENST00000479813.5	ENSG00000142583.18
ENST00000486632.5	ENSG00000142583.18
ENST00000487835.5	ENSG00000142583.18
ENST00000464985.5	ENSG00000142583.18
ENST00000473209.1	ENSG00000142583.18
ENST00000641403.1	ENSG00000284674.1
ENST00000435243.2	ENSG00000224338.2
ENST00000663738.1	ENSG00000287727.1
ENST00000403197.5	ENSG00000173614.14
ENST00000377205.6	ENSG00000173614.14
ENST00000462686.1	ENSG00000173614.14
ENST00000492735.1	ENSG00000173614.14
ENST00000496751.1	ENSG00000173614.14
ENST00000400795.3	ENSG00000215720.4
ENST00000413148.1	ENSG00000241326.1
ENST00000416729.2	ENSG00000233623.2
ENST00000423056.2	ENSG00000204624.8
ENST00000294484.7	ENSG00000204624.8
ENST00000304391.6	ENSG00000204624.8
ENST00000471840.5	ENSG00000142606.16
ENST00000378412.8	ENSG00000142606.16
ENST00000502556.5	ENSG00000142606.16
ENST00000504800.5	ENSG00000142606.16
ENST00000491941.5	ENSG00000142606.16
ENST00000464195.1	ENSG00000142606.16
ENST00000469962.1	ENSG00000142606.16
ENST00000509374.1	ENSG00000142606.16
ENST00000511099.1	ENSG00000142606.16
ENST00000456687.3	ENSG00000225931.3
ENST00000376014.7	ENSG00000171729.14
ENST00000451326.6	ENSG00000171729.14
ENST00000400796.7	ENSG00000171729.14
ENST00000434578.6	ENSG00000171729.14
ENST00000376008.3	ENSG00000171729.14
ENST00000428417.5	ENSG00000171729.14
ENST00000442305.1	ENSG00000229393.1
ENST00000658045.1	ENSG00000287586.1
ENST00000661891.1	ENSG00000287586.1
ENST00000438791.2	ENSG00000227169.2
ENST00000637697.1	ENSG00000283356.1
ENST00000378518.5	ENSG00000157916.20
ENST00000605895.6	ENSG00000157916.20
ENST00000306256.13	ENSG00000157916.20
ENST00000493207.1	ENSG00000157916.20
ENST00000378512.5	ENSG00000157916.20
ENST00000443438.5	ENSG00000157916.20
ENST00000488353.2	ENSG00000157916.20
ENST00000462129.1	ENSG00000157916.20
ENST00000378513.7	ENSG00000157916.20
ENST00000378466.9	ENSG00000157881.16
ENST00000435556.8	ENSG00000157881.16
ENST00000505228.5	ENSG00000157881.16
ENST00000502512.1	ENSG00000157881.16
ENST00000471361.1	ENSG00000157881.16
ENST00000487804.1	ENSG00000157881.16
ENST00000515423.1	ENSG00000157881.16
ENST00000468002.2	ENSG00000157881.16
ENST00000486396.1	ENSG00000157881.16
ENST00000502770.2	ENSG00000157881.16
ENST00000491212.1	ENSG00000157881.16
ENST00000514922.1	ENSG00000157881.16
ENST00000420211.1	ENSG00000225387.1
ENST00000620676.6	ENSG00000048707.15
ENST00000613099.4	ENSG00000048707.15
ENST00000476169.1	ENSG00000048707.15
ENST00000489961.1	ENSG00000048707.15
ENST00000011700.10	ENSG00000048707.15
ENST00000646917.1	ENSG00000048707.15
ENST00000460333.5	ENSG00000048707.15
ENST00000487188.1	ENSG00000048707.15
ENST00000643711.1	ENSG00000048707.15
ENST00000469054.1	ENSG00000048707.15
ENST00000646411.1	ENSG00000048707.15
ENST00000543710.5	ENSG00000048707.15
ENST00000645371.1	ENSG00000048707.15
ENST00000466732.2	ENSG00000048707.15
ENST00000476045.5	ENSG00000048707.15
ENST00000481484.1	ENSG00000048707.15
ENST00000543766.2	ENSG00000048707.15
ENST00000645148.1	ENSG00000048707.15
ENST00000647414.1	ENSG00000048707.15
ENST00000473099.1	ENSG00000048707.15
ENST00000453852.2	ENSG00000225196.2
ENST00000315901.4	ENSG00000162444.12
ENST00000294435.8	ENSG00000162444.12
ENST00000624125.1	ENSG00000279625.1
ENST00000377411.5	ENSG00000180758.12
ENST00000465853.1	ENSG00000180758.12
ENST00000466131.1	ENSG00000180758.12
ENST00000650433.1	ENSG00000184677.18
ENST00000400239.6	ENSG00000184677.18
ENST00000375647.5	ENSG00000184677.18
ENST00000404138.5	ENSG00000184677.18
ENST00000374651.8	ENSG00000184677.18
ENST00000649975.1	ENSG00000285833.1
ENST00000460696.1	ENSG00000131697.18
ENST00000378161.5	ENSG00000131697.18
ENST00000478423.6	ENSG00000131697.18
ENST00000489180.6	ENSG00000131697.18
ENST00000378156.9	ENSG00000131697.18
ENST00000378169.7	ENSG00000131697.18
ENST00000468253.1	ENSG00000131697.18
ENST00000506941.1	ENSG00000131697.18
ENST00000470763.1	ENSG00000131697.18
ENST00000466897.1	ENSG00000131697.18
ENST00000622020.4	ENSG00000131697.18
ENST00000624418.1	ENSG00000280222.1
ENST00000648684.1	ENSG00000285945.1
ENST00000378453.4	ENSG00000197921.6
ENST00000641583.1	ENSG00000284666.1
ENST00000443484.1	ENSG00000228943.1
ENST00000487348.1	ENSG00000234397.3
ENST00000633371.1	ENSG00000204138.13
ENST00000373839.8	ENSG00000204138.13
ENST00000632202.1	ENSG00000204138.13
ENST00000632421.1	ENSG00000204138.13
ENST00000463428.5	ENSG00000204138.13
ENST00000493669.2	ENSG00000204138.13
ENST00000633167.1	ENSG00000204138.13
ENST00000373836.4	ENSG00000204138.13
ENST00000632964.1	ENSG00000204138.13
ENST00000413189.1	ENSG00000233419.3
ENST00000515851.1	ENSG00000225011.4
ENST00000641702.1	ENSG00000284676.1
ENST00000374089.5	ENSG00000090020.11
ENST00000263980.8	ENSG00000090020.11
ENST00000490329.1	ENSG00000090020.11
ENST00000447808.1	ENSG00000090020.11
ENST00000374086.3	ENSG00000090020.11
ENST00000374084.2	ENSG00000090020.11
ENST00000374282.8	ENSG00000158006.14
ENST00000374284.5	ENSG00000158006.14
